,station,sign,frontiere_bas,frontiere_haut
100,20010,15,"['[1001001]', '[0011100]', '[1000101]', '[1100000]', '[1011000]', '[1010100]', '[0001101]', '[0010101]', '[0110010]', '[1000110]', '[0001110]', '[1010010]', '[0110001]', '[0011001]', '[0100100]', '[0101000]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
101,20013,15,"['[1010000]', '[0000101]', '[1001000]', '[1000011]', '[0011000]', '[1100001]', '[1000100]', '[0001001]', '[0100011]', '[1100010]', '[0100100]', '[0010011]', '[0001100]', '[0101000]', '[0010100]', '[0110000]']",['[1111111]']
102,20014,15,"['[0000011]', '[0001000]', '[1000000]', '[0100000]', '[0010000]']",['[1111111]']
103,20019,15,"['[0100110]', '[1001001]', '[0011100]', '[1000101]', '[0101100]', '[1011000]', '[1010100]', '[1000011]', '[0110100]', '[0001101]', '[0100001]', '[0010101]', '[0110010]', '[0011010]', '[0001011]', '[1000110]', '[0111000]', '[1110000]', '[0001110]', '[1010010]', '[0101010]', '[1100100]', '[0011001]', '[1100010]', '[0000111]', '[1101000]', '[0010011]', '[0010110]', '[1001010]', '[1010001]', '[1001100]']",['[1111111]']
104,20021,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
105,20022,15,"['[0000100]', '[0100000]', '[0001000]', '[0000001]', '[0010000]', '[0000010]']",['[0111111]']
106,20024,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0010000]']",['[1111111]']
107,20029,15,"['[0000100]', '[0001000]', '[0000001]', '[1000000]', '[0000010]']","['[1011101]', '[1011110]']"
108,20033,15,"['[0001000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
109,20035,15,"['[1010000]', '[0000101]', '[1001000]', '[0011000]', '[0010001]', '[1000100]', '[1000010]', '[0000110]', '[0001001]', '[0010010]', '[1000001]', '[0100000]', '[0001010]', '[0001100]', '[0010100]']",['[1111111]']
110,20036,15,"['[1001001]', '[0000101]', '[1011000]', '[1000011]', '[0100001]', '[1000100]', '[0000110]', '[0011010]', '[0001011]', '[1110000]', '[0100010]', '[1010010]', '[0011001]', '[0100100]', '[0010011]', '[0001100]', '[0101000]', '[1001010]', '[1010001]', '[0010100]']",['[1111111]']
111,20039,15,"['[1001001]', '[1010000]', '[1100000]', '[0011010]', '[0101001]', '[0101010]', '[0011001]', '[1001010]', '[0110000]']",['[1111111]']
112,20042,15,"['[0111000]', '[1100010]', '[1110000]', '[1101000]', '[1010010]', '[0011100]', '[1001010]', '[0101010]', '[0101100]', '[1011000]', '[1010100]', '[1100100]', '[1001100]', '[0110100]']",['[1111111]']
113,20047,15,"['[0001000]', '[0100000]', '[0010000]']",['[1111111]']
114,20103,15,"['[0000100]', '[0100000]', '[0000001]', '[0010000]', '[1000000]', '[0000010]']",['[1110111]']
115,20104,15,"['[0000010]', '[0100000]', '[0000100]', '[0001000]', '[0010000]', '[1000000]']","['[0100000]', '[0000100]', '[1000010]', '[0001000]', '[1000001]', '[0010000]']"
116,20106,15,"['[0000010]', '[0001000]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
117,20113,15,"['[0000010]', '[1000000]', '[0000100]', '[0100000]', '[0000001]', '[0010000]']",['[1111111]']
