,station,sign,station_code,latitude,longitude
144,31025,15,31025,48.86950262156371,2.4502260982990265
145,31705,15,31705,48.86445913468464,2.416177801787853
146,31708,15,31708,48.874515389637,2.4152836203575
147,32302,15,32302,48.87714120835904,2.4461565166711807
148,32305,15,32305,48.882877330093,2.4331868384644
149,32306,15,32306,48.883814948134,2.4402657783125
150,32601,15,32601,48.87861855668978,2.412032783031464
151,32603,15,32603,48.88104925098552,2.424993216991425
152,32604,15,32604,48.881287375060616,2.420119643211365
153,32605,15,32605,48.87914304162,2.4163350908311
154,40014,15,40014,48.769807356177,2.4623027310281
155,41202,15,41202,48.8436279,2.4630465
156,41302,15,41302,48.83649602312711,2.479562651149885
157,42026,15,42026,48.81552718820216,2.3687169334905405
158,42703,15,42703,48.80956436844049,2.3626908659935
159,42707,15,42707,48.81240466867336,2.361709177494049
160,43006,15,43006,48.841486,2.430793
161,46001,15,46001,48.7672039733195,2.4144977331161503
162,48001,15,48001,48.800123,2.3567359
163,48002,15,48002,48.805342480621576,2.363983690738678
164,48005,15,48005,48.792862,2.363093
165,51001,15,51001,48.94702243680671,2.256898172199726
166,1001,-15,1001,48.857058739111,2.3417982839439
167,1013,-15,1013,48.862382970647,2.3384822532535
168,1016,-15,1016,48.866483514509,2.3344334212238
169,1018,-15,1018,48.864773553495,2.3294493936128
170,1025,-15,1025,48.861342760889,2.3400047421455
171,1026,-15,1026,48.86349087172447,2.3400671035051346
172,1102,-15,1102,48.864053304653766,2.347587011754513
173,2001,-15,2001,48.865242333228,2.3516669869423
174,2017,-15,2017,48.86785342111862,2.349364310503006
175,2101,-15,2101,48.86617395079137,2.3449775576591496
176,3001,-15,3001,48.8580378,2.3679352
177,3005,-15,3005,48.86610337431,2.3596492409706
178,3006,-15,3006,48.86446178139141,2.361762821674347
179,3007,-15,3007,48.8623615,2.3595041
180,3012,-15,3012,48.867433724231,2.3536357283592
181,3102,-15,3102,48.863933319493,2.352406270802
182,4003,-15,4003,48.852915956209,2.3521957173944
183,4007,-15,4007,48.852364355271,2.3681089282036
184,4011,-15,4011,48.853899645527,2.3569472506642
185,4013,-15,4013,48.858256413365815,2.35821794718504
186,4015,-15,4015,48.855949910497,2.3563823103905
187,4016,-15,4016,48.8562118,2.3532536
188,4018,-15,4018,48.857999643315,2.3502172809763
189,4019,-15,4019,48.858835448898,2.3518279194832
190,4101,-15,4101,48.853833463852,2.3685702681541
191,4108,-15,4108,48.85097433194,2.3563072085381
192,4110,-15,4110,48.85355351439652,2.3639122769236565
193,5019,-15,5019,48.84969649427,2.3529685288668
194,5026,-15,5026,48.83906195215975,2.349978201091289
195,5027,-15,5027,48.837135900263,2.3515201359987
196,5034,-15,5034,48.840658921385234,2.3537524044513702
197,5115,-15,5115,48.84266846610488,2.3618587106466293
198,5116,-15,5116,48.844182577315,2.3640366643667
199,5123,-15,5123,48.850571,2.3471015
200,6013,-15,6013,48.855280175332,2.3375743255019
201,6015,-15,6015,48.85375581057431,2.3390958085656166
202,6016,-15,6016,48.852297362582,2.3414132371545
203,6020,-15,6020,48.852886173881,2.3426544293761
204,6025,-15,6025,48.8492084999386,2.32851454623001
205,6026,-15,6026,48.8490535919234,2.325317971408367
206,6031,-15,6031,48.850908146398,2.342130728066
207,6032,-15,6032,48.852575112948415,2.331552766263485
208,6103,-15,6103,48.85023459321703,2.3303819820284843
209,6107,-15,6107,48.850188262662,2.3275961726904
210,6108,-15,6108,48.84708159081946,2.321374788880348
211,7013,-15,7013,48.847460641142,2.3126140236855
212,7015,-15,7015,48.857202661803,2.3152771219611
213,7016,-15,7016,48.861273016278,2.3094535509142
214,7023,-15,7023,48.860897797941,2.295599598447
215,8015,-15,8015,48.873450733908,2.3204044997692
216,8016,-15,8016,48.87320440102894,2.323658830743138
217,9101,-15,9101,48.875601632672,2.3435704037547
218,10004,-15,10004,48.870893,2.353521
219,10005,-15,10005,48.87397217237368,2.348388757504776
220,10014,-15,10014,48.871624306962985,2.3639265082738348
221,10042,-15,10042,48.872420063053,2.3483952362828
222,11004,-15,11004,48.852191909696,2.3740932717919
223,11033,-15,11033,48.856931678257,2.3706749462105
224,11037,-15,11037,48.867872484749,2.3648982158072
225,11038,-15,11038,48.865709343796,2.3652737250724
226,11047,-15,11047,48.861142162761,2.3677996181077
227,11101,-15,11101,48.85242200848887,2.380632497370243
228,12001,-15,12001,48.851355779579,2.369220033288
229,12008,-15,12008,48.84693552991762,2.377087622880936
230,12031,-15,12031,48.8351212784276,2.385534569621086
231,12165,-15,12165,48.835261,2.447974
232,12204,-15,12204,48.850330563516,2.3758223011125
233,13016,-15,13016,48.83094844846017,2.37965351592796
234,13028,-15,13028,48.820507,2.351342
235,13047,-15,13047,48.822632,2.377738
236,13104,-15,13104,48.84369030864,2.3657163977623
237,13118,-15,13118,48.82435782216384,2.377065159380436
238,13128,-15,13128,48.83730787972,2.3740861260598
239,15010,-15,15010,48.84756654526,2.3025691509247
240,15022,-15,15022,48.84705114311375,2.295340597629548
241,15028,-15,15028,48.851315406715976,2.291950285434724
242,15030,-15,15030,48.84791249714942,2.2843059897422795
243,15031,-15,15031,48.8482070397636,2.2898658737540245
244,15032,-15,15032,48.83868901709515,2.2818081825971603
245,15059,-15,15059,48.840639944297,2.2780618071556
246,15062,-15,15062,48.842055041656,2.2859910875559
247,15064,-15,15064,48.846276485475,2.2786368057132
248,15070,-15,15070,48.838507403334,2.2782871127129
249,15103,-15,15103,48.843372571022,2.2751328349113
250,15107,-15,15107,48.833468517426,2.2858720645308
251,15120,-15,15120,48.8296843300915,2.275342586850291
252,15127,-15,15127,48.846401,2.28502
253,15129,-15,15129,48.84604349011845,2.313245013356209
254,16003,-15,16003,48.8778983,2.2789591
255,16025,-15,16025,48.85264791461651,2.27586641907692
256,16029,-15,16029,48.85132886434057,2.277785539627075
257,16121,-15,16121,48.87877224251047,2.270772233605385
258,16122,-15,16122,48.8798926,2.2587671
259,16124,-15,16124,48.87525984132485,2.249415814876557
260,16140,-15,16140,48.86413226532,2.239905372262
261,17127,-15,17127,48.896737263309504,2.310542999196392
262,21023,-15,21023,48.838311,2.234077
263,21032,-15,21032,48.837809408957,2.2281519323587
264,21107,-15,21107,48.89925982394349,2.3042294383049016
265,21310,-15,21310,48.8268858430698,2.2723413258790965
266,21311,-15,21311,48.827472525227,2.2784319519997
267,21313,-15,21313,48.83091743371036,2.279070653021336
268,21314,-15,21314,48.824753068884,2.2588385956052
269,21323,-15,21323,48.827228120536,2.268122527474
270,22001,-15,22001,48.890404028589806,2.270106375217438
271,22304,-15,22304,48.943681749651,2.3057864216906
272,23003,-15,23003,48.89826887103676,2.2849336266517644
273,23009,-15,23009,48.88873214926474,2.288157641887665
274,23011,-15,23011,48.88666162207,2.2843274474144
275,23101,-15,23101,48.8218104687602,2.205879874527455
276,23806,-15,23806,48.85440659426,2.1975097137701
277,24007,-15,24007,48.90310883721567,2.278892956674099
278,25002,-15,25002,48.878194,2.181724
279,30003,-15,30003,48.90755810177,2.4689837335263
280,41208,-15,41208,48.85511009293948,2.4930700287222862
281,41304,-15,41304,48.832474421632,2.490257616467
282,42004,-15,42004,48.81911618157877,2.3966637253761296
283,42011,-15,42011,48.822556366667,2.3920395970345
284,42022,-15,42022,48.813881,2.392429
285,43101,-15,43101,48.743385629116,2.4025604826094
286,43202,-15,43202,48.757926073227,2.4036482119581
287,44001,-15,44001,48.80391487219,2.4089661620274
288,44002,-15,44002,48.80108159069614,2.402097210288048
289,47008,-15,47008,48.80929410761,2.4596271973784
